Date,USD
2015-03-05 23:00:00,3126380.2963
2015-03-08 23:00:00,1221588.5
2015-03-11 23:00:00,1989294.824
2015-03-14 23:00:00,1555762.956
2015-03-17 23:00:00,1833379.7216
2015-03-20 23:00:00,1489959.87
2015-03-23 23:00:00,2315865.8741
2015-03-26 23:00:00,2090932.5311
2015-03-30 00:00:00,1621283.6808
2015-04-02 00:00:00,1535267.8948
2015-04-05 00:00:00,690291.8774
2015-04-08 00:00:00,1525083.357
2015-04-11 00:00:00,2724945.68
2015-04-14 00:00:00,3104225.6067
2015-04-17 00:00:00,2467237.5
2015-04-20 00:00:00,1313111.8331
2015-04-23 00:00:00,2567616.6082
2015-04-26 00:00:00,1204729.4907
2015-04-29 00:00:00,2108340.416
2015-05-02 00:00:00,1547771.5446
2015-05-05 00:00:00,1783949.29
2015-05-08 00:00:00,2614622.5952
2015-05-11 00:00:00,841557.2094
2015-05-14 00:00:00,2179359.9275
2015-05-17 00:00:00,795921.5691
2015-05-20 00:00:00,1288756.846
2015-05-23 00:00:00,2491546.068
2015-05-26 00:00:00,1324211.3397
2015-05-29 00:00:00,1183233.2428
2015-06-01 00:00:00,996462.0596
2015-06-04 00:00:00,1299861.514
2015-06-07 00:00:00,623127.8042
2015-06-10 00:00:00,2077600.98
2015-06-13 00:00:00,1351595.504
2015-06-16 00:00:00,2474934.36
2015-06-19 00:00:00,2774658.0292
2015-06-22 00:00:00,473743.718
2015-06-25 00:00:00,1610305.604
2015-06-28 00:00:00,1783480.4676
2015-07-01 00:00:00,5228101.5927
2015-07-04 00:00:00,2343369.94
2015-07-07 00:00:00,5377393.809
2015-07-10 00:00:00,3742801.44
2015-07-13 00:00:00,6985899.8875
2015-07-16 00:00:00,2815364.979
2015-07-19 00:00:00,2590637.8598
2015-07-22 00:00:00,2488902.68
2015-07-25 00:00:00,4577494.12
2015-07-28 00:00:00,4311794.3778
2015-07-31 00:00:00,2343295.6875
2015-08-03 00:00:00,1281691.8532
2015-08-06 00:00:00,1841426.72
2015-08-09 00:00:00,2691512.6126
2015-08-12 00:00:00,2274318.8812
2015-08-15 00:00:00,2128338.8434
2015-08-18 00:00:00,2217899.1574
2015-08-21 00:00:00,3720105.2078
2015-08-24 00:00:00,2915321.211
2015-08-27 00:00:00,5409804.072
2015-08-30 00:00:00,3557779.2939
2015-09-02 00:00:00,5452898.7789
2015-09-05 00:00:00,4818819.123
2015-09-08 00:00:00,5566863.6671
2015-09-11 00:00:00,4940577.6992
2015-09-14 00:00:00,4512413.7
2015-09-17 00:00:00,4148975.2968
2015-09-20 00:00:00,2585884.7925
2015-09-23 00:00:00,4455143.0496
2015-09-26 00:00:00,5305732.8734
2015-09-29 00:00:00,4200623.2356
2015-10-02 00:00:00,4844212.7981
2015-10-05 00:00:00,3564285.024
2015-10-08 00:00:00,5776768.1073
2015-10-11 00:00:00,4258224.3976
2015-10-14 00:00:00,6466622.6288
2015-10-17 00:00:00,9118255.68
2015-10-20 00:00:00,4389432.475
2015-10-23 00:00:00,8290061.385
2015-10-25 23:00:00,8441415.976
2015-10-28 23:00:00,9523730.4594
2015-10-31 23:00:00,8919365.481
2015-11-03 23:00:00,31163707.43
2015-11-06 23:00:00,17548684.1926
2015-11-09 23:00:00,9695175.4772
2015-11-12 23:00:00,12835814.5627
2015-11-15 23:00:00,8867123.5828
2015-11-18 23:00:00,9056533.38
2015-11-21 23:00:00,1657233.8601
2015-11-24 23:00:00,2763927.08
2015-11-27 23:00:00,4787408.7
2015-11-30 23:00:00,6823690.0354
2015-12-03 23:00:00,4409145.9954
2015-12-06 23:00:00,5678050.38
2015-12-09 23:00:00,8971415.3397
2015-12-12 23:00:00,13096215.804
2015-12-15 23:00:00,8341525.236
2015-12-18 23:00:00,5971185.99
2015-12-21 23:00:00,8309217.9445
2015-12-24 23:00:00,4626576
2015-12-27 23:00:00,2936051.331
2015-12-30 23:00:00,3319566.1609
2016-01-02 23:00:00,1287045.5504
2016-01-05 23:00:00,1677504.0775
2016-01-08 23:00:00,4677703.9728
2016-01-11 23:00:00,3582603.5752
2016-01-14 23:00:00,1903928.829
2016-01-17 23:00:00,3204406.656
2016-01-20 23:00:00,10593189.908
2016-01-23 23:00:00,2976583.9622
2016-01-26 23:00:00,2599020.5106
2016-01-29 23:00:00,5113886.1048
2016-02-01 23:00:00,2701707.5715
2016-02-04 23:00:00,5209435.44
2016-02-07 23:00:00,1082358.75
2016-02-10 23:00:00,3787559.3118
2016-02-13 23:00:00,2713128.1344
2016-02-16 23:00:00,3399915.2
2016-02-19 23:00:00,2110655.6878
2016-02-22 23:00:00,2559334.9832
2016-02-25 23:00:00,2363228.6296
2016-02-28 23:00:00,1493821.132
2016-03-02 23:00:00,2421748.875
2016-03-05 23:00:00,6594012.9727
2016-03-08 23:00:00,2301767.077
2016-03-11 23:00:00,2516555.5253
2016-03-14 23:00:00,1852141.869
2016-03-17 23:00:00,1558879.4349
2016-03-20 23:00:00,1060913.1582
2016-03-23 23:00:00,2067894.7164
2016-03-26 23:00:00,522917.8752
2016-03-30 00:00:00,2467410.471
2016-04-02 00:00:00,1558131.7632
2016-04-05 00:00:00,1459218.3483
